subtype,feature,delta_bevac_minus_acute,p_exact,acute_mean,bevac_mean,n_acute,n_bevac,fdr_within_subtype
Arterial,Mfsd2a,0.0592116528035451,0.1428571428571428,0.0426459175068885,0.1018575703104337,4,3,0.2428571428571428
Arterial,Cav1,0.4238210668166478,0.0571428571428571,0.8520017713308334,1.2758228381474812,4,3,0.1494505494505494
Arterial,Cav2,0.2198879395922025,0.1142857142857142,0.7425020262598991,0.9623899658521016,4,3,0.2285714285714285
Arterial,Plvap,0.0194931418906586,0.4,0.0247995042591355,0.0442926461497942,4,3,0.5230769230769231
Arterial,Cldn5,0.6947989066441855,0.0285714285714285,3.0455249547958374,3.740323861440023,4,3,0.1494505494505494
Arterial,Lsr,0.2141234229008357,0.0571428571428571,0.864722952246666,1.0788463751475017,4,3,0.1494505494505494
Arterial,Abcg2,0.5263953407605488,0.0571428571428571,0.9723312258720398,1.4987265666325886,4,3,0.1494505494505494
Arterial,Axin2,0.1202352531254291,0.1428571428571428,0.185016568750143,0.3052518218755722,4,3,0.2428571428571428
Arterial,Reck,0.0066325925290584,0.9142857142857144,0.2539663352072239,0.2605989277362823,4,3,1.0
Arterial,Vcam1,0.1768147250016529,0.3428571428571428,0.895916074514389,1.072730799516042,4,3,0.4662857142857142
Arterial,Icam1,-0.1250148291389147,0.1142857142857142,0.4718920961022377,0.3468772669633229,4,3,0.2285714285714285
Arterial,Cxcl9,-0.0155872175625215,0.9714285714285714,0.0911662026774138,0.0755789851148923,4,3,1.0
Arterial,Cxcl10,-0.0139783811755478,0.7428571428571429,0.0966054392047226,0.0826270580291748,4,3,0.9020408163265308
Arterial,Stat1,0.2146368660032749,0.1428571428571428,0.5199285112321377,0.7345653772354126,4,3,0.2428571428571428
Arterial,Irf1,0.1899347578485807,0.0571428571428571,0.6233712956309319,0.8133060534795126,4,3,0.1494505494505494
Arterial,B2m,-0.4113955100377402,0.0857142857142857,3.181132674217224,2.769737164179484,4,3,0.1942857142857142
Arterial,H2-Aa,-0.179433461278677,0.0285714285714285,0.2608724310994148,0.0814389698207378,4,3,0.1494505494505494
Arterial,H2-Ab1,-0.2254698624213536,0.0285714285714285,0.3134153038263321,0.0879454414049784,4,3,0.1494505494505494
Arterial,Angpt2,-0.0186322873147825,0.2857142857142857,0.0491424514912068,0.0305101641764243,4,3,0.4223602484472049
Arterial,Esm1,-0.0054178764112293,1.0,0.0054178764112293,0.0,4,3,1.0
Arterial,Apln,0.0050691140738005,0.2857142857142857,0.0017034356715157,0.0067725497453163,4,3,0.4223602484472049
Arterial,Kdr,0.2829695716500282,0.0571428571428571,0.3069518432021141,0.5899214148521423,4,3,0.1494505494505494
Arterial,Serpine1,-0.0232074353843927,0.3142857142857143,0.0469947569072246,0.0237873215228319,4,3,0.4452380952380952
Arterial,Ctgf,,,0.1693460382521152,,4,3,
Angiogenic,Tight_junction,0.6611994976798693,0.0285714285714285,0.3318811580538749,0.9930806557337444,4,3,0.0971428571428571
Angiogenic,BBB_transport_identity,0.4127777454753717,0.0571428571428571,0.2469293139874935,0.6597070594628652,4,3,0.1214285714285714
Angiogenic,Caveolae_structural,0.4424018035642802,0.0285714285714285,0.1146211554296314,0.5570229589939117,4,3,0.0971428571428571
Angiogenic,PLVAP_permeability,0.174801580607891,0.2,0.1827386692166328,0.3575402498245239,4,3,0.2615384615384615
Angiogenic,Adhesion_trafficking,0.1149831314881642,0.0857142857142857,0.1713409721851349,0.2863241036732991,4,3,0.1619047619047618
Angiogenic,IFN_antigen_presentation,0.2730296999216079,0.0285714285714285,0.6379496306180954,0.9109793305397034,4,3,0.0971428571428571
Angiogenic,Wnt_BBB,0.1607828103005886,0.0285714285714285,0.0930541642010212,0.2538369745016098,4,3,0.0971428571428571
Angiogenic,TGF_response,0.0655402690172195,0.2285714285714285,0.260173425078392,0.3257136940956116,4,3,0.2878306878306878
Angiogenic,VEGF_response,0.4719635968406995,0.0285714285714285,0.3688765242695808,0.8408401211102804,4,3,0.0971428571428571
Angiogenic,ROS_Src,0.0082568128903706,0.8571428571428571,0.4053442776203155,0.4136010905106862,4,3,0.8571428571428571
Angiogenic,ECM_protease,-0.016019337112084,0.6857142857142857,0.0910061786416918,0.0749868415296077,4,3,0.752073732718894
Angiogenic,Mfsd2a,0.0182242121081799,0.2571428571428571,0.003884044708684,0.022108256816864,4,3,0.3122448979591836
Angiogenic,Cav1,0.6959085936347643,0.0285714285714285,0.1441948935389518,0.8401034871737162,4,3,0.0971428571428571
Angiogenic,Cav2,0.4275235353658596,0.0571428571428571,0.1153863947838544,0.5429099301497141,4,3,0.1214285714285714
Angiogenic,Plvap,0.0363051498619218,0.7142857142857143,0.0132801975123584,0.0495853473742802,4,3,0.7589285714285714
Angiogenic,Cldn5,1.537696403761705,0.0285714285714285,0.8101485148072243,2.347844918568929,4,3,0.0971428571428571
Angiogenic,Lsr,0.3076875912956893,0.0571428571428571,0.1099108648486435,0.4175984561443329,4,3,0.1214285714285714
Angiogenic,Abcg2,0.705386061842243,0.0857142857142857,0.3627329673618078,1.0681190292040508,4,3,0.1619047619047618
Angiogenic,Axin2,0.0231749933833877,0.8,0.0534184975549578,0.0765934909383456,4,3,0.8242424242424243
Angiogenic,Reck,0.0768166072666645,0.1142857142857142,0.0286497501656413,0.1054663574323058,4,3,0.2045112781954887
Angiogenic,Vcam1,0.3105607026567062,0.2,0.2620796468108892,0.5726403494675955,4,3,0.2615384615384615
Angiogenic,Icam1,0.1742617314060529,0.1714285714285714,0.4950350895524025,0.6692968209584554,4,3,0.2615384615384615
Angiogenic,Cxcl9,0.2422272746140758,0.2,0.1349039366468787,0.3771312112609545,4,3,0.2615384615384615
Angiogenic,Cxcl10,0.1749521323169271,0.2,0.1904789479449391,0.3654310802618662,4,3,0.2615384615384615
Angiogenic,Stat1,0.4575556218624115,0.0285714285714285,0.5645242035388947,1.0220798254013062,4,3,0.0971428571428571
