Dataset,Analysis subset,Module,Expected genes,Measured genes,Coverage fraction,Measured gene symbols,Use in scoring,Note
GSE199460,Venous-like sensitivity subset,VEGF_response,6,6,1,KDR; FLT1; PGF; ANGPT2; ESM1; APLN,Scored,Sensitivity analysis only
GSE199460,Venous-like sensitivity subset,ROS_Src,7,7,1,SRC; RAC1; NOX4; CYBB; NCF1; NCF2; HIF1A,Scored,Sensitivity analysis only
GSE199460,Venous-like sensitivity subset,ECM_protease,4,4,1,MMP2; MMP9; TIMP1; TIMP2,Scored,Sensitivity analysis only
GSE95401,FACS-enriched endothelial bulk samples,Endothelial_immune_activation,20,18,0.9,STAT1; STAT3; IRF1; CXCL9; CXCL10; CCL2; B2M; TAP1; H2-AA; H2-AB1; ICAM1; VCAM1; SELE; SELP; IFIT1; IFIT2; IFIT3; ISG15,Scored,
GSE95401,FACS-enriched endothelial bulk samples,BBB_specialization,14,12,0.8571428571428571,CLDN5; OCLN; TJP1; LSR; MFSD2A; SLC2A1; ABCG2; LEF1; AXIN2; APCDD1; RECK; TCF7L2,Scored,
GSE95401,FACS-enriched endothelial bulk samples,Structural_ECM_remodeling,15,15,1,CAV1; CAV2; EHD2; PLVAP; MMP2; MMP9; TIMP1; TIMP2; COL4A1; COL4A2; FN1; LAMA4; LAMB1; SPARC; VIM,Scored,
GSE95401,FACS-enriched endothelial bulk samples,Tight_junction,4,4,1,CLDN5; OCLN; TJP1; LSR,Scored,
GSE95401,FACS-enriched endothelial bulk samples,BBB_transport_identity,4,3,0.75,MFSD2A; SLC2A1; ABCG2,Scored,
GSE95401,FACS-enriched endothelial bulk samples,Caveolae_structural,3,3,1,CAV1; CAV2; EHD2,Scored,
GSE95401,FACS-enriched endothelial bulk samples,PLVAP_permeability,4,4,1,PLVAP; ESM1; APLN; ANGPT2,Scored,
GSE95401,FACS-enriched endothelial bulk samples,Adhesion_trafficking,6,6,1,ICAM1; VCAM1; SELE; SELP; CCL2; CXCL10,Scored,
GSE95401,FACS-enriched endothelial bulk samples,IFN_antigen_presentation,14,12,0.8571428571428571,STAT1; IRF1; CXCL9; CXCL10; B2M; TAP1; H2-AA; H2-AB1; IFIT1; IFIT2; IFIT3; ISG15,Scored,
GSE95401,FACS-enriched endothelial bulk samples,Wnt_BBB,6,5,0.8333333333333334,LEF1; AXIN2; APCDD1; RECK; TCF7L2,Scored,
GSE95401,FACS-enriched endothelial bulk samples,TGF_response,8,8,1,TGFBR1; TGFBR2; SMAD2; SMAD3; SMAD4; SMAD7; SERPINE1; CTGF,Scored,
GSE95401,FACS-enriched endothelial bulk samples,VEGF_response,6,6,1,KDR; FLT1; PGF; ANGPT2; ESM1; APLN,Scored,
GSE95401,FACS-enriched endothelial bulk samples,ROS_Src,7,7,1,SRC; RAC1; NOX4; CYBB; NCF1; NCF2; HIF1A,Scored,
GSE95401,FACS-enriched endothelial bulk samples,ECM_protease,4,4,1,MMP2; MMP9; TIMP1; TIMP2,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),Endothelial_immune_activation,20,18,0.9,STAT1; STAT3; IRF1; CXCL9; CXCL10; CCL2; B2M; TAP1; HLA-DRA; HLA-DRB1; ICAM1; VCAM1; SELE; SELP; IFIT1; IFIT2; IFIT3; ISG15,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),BBB_specialization,14,14,1,CLDN5; OCLN; TJP1; LSR; MFSD2A; SLC2A1; ABCG2; ABCB1; LEF1; AXIN2; APCDD1; ADGRA2; RECK; TCF7L2,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),Structural_ECM_remodeling,15,15,1,CAV1; CAV2; EHD2; PLVAP; MMP2; MMP9; TIMP1; TIMP2; COL4A1; COL4A2; FN1; LAMA4; LAMB1; SPARC; VIM,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),Tight_junction,4,4,1,CLDN5; OCLN; TJP1; LSR,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),BBB_transport_identity,4,4,1,MFSD2A; SLC2A1; ABCG2; ABCB1,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),Caveolae_structural,3,3,1,CAV1; CAV2; EHD2,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),PLVAP_permeability,4,4,1,PLVAP; ESM1; APLN; ANGPT2,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),Adhesion_trafficking,6,6,1,ICAM1; VCAM1; SELE; SELP; CCL2; CXCL10,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),IFN_antigen_presentation,14,12,0.8571428571428571,STAT1; IRF1; CXCL9; CXCL10; B2M; TAP1; HLA-DRA; HLA-DRB1; IFIT1; IFIT2; IFIT3; ISG15,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),Wnt_BBB,6,6,1,LEF1; AXIN2; APCDD1; ADGRA2; RECK; TCF7L2,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),TGF_response,8,7,0.875,TGFBR1; TGFBR2; SMAD2; SMAD3; SMAD4; SMAD7; SERPINE1,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),VEGF_response,6,6,1,KDR; FLT1; PGF; ANGPT2; ESM1; APLN,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),ROS_Src,7,7,1,SRC; RAC1; NOX4; CYBB; NCF1; NCF2; HIF1A,Scored,
GSE279183,Endothelial nuclei (donor pseudobulk),ECM_protease,4,4,1,MMP2; MMP9; TIMP1; TIMP2,Scored,
