GSE199460__GSE210776,GSE199460__GSE95401,GSE199460__GSE279183,GSE210776__GSE95401,GSE210776__GSE279183,GSE95401__GSE279183,pooled_mouse__GSE279183,mean_within_mouse,mean_individual_mouse_human,within_minus_individual_cross,within_minus_pooled_cross,n_genes
0.4251551400360292,0.39940339684797177,0.1031669691367989,0.2203195875355105,0.037344063055180246,0.15038355779071091,0.12175384676536517,0.3482927081398371,0.09696486332756334,0.25132784481227377,0.22653886137447193,7623
0.49654526317182845,0.35620045282431106,0.12659307919890797,0.2803340320866883,0.10087149621906905,0.1646013743392683,0.17943387427710594,0.3776932493609426,0.13068864991908177,0.24700459944186084,0.19825937508383668,7650
0.35520457166687086,0.28713922829051325,0.06762421734813148,0.22093525241720263,0.11996523855487652,0.13441731946270266,0.15103343923315055,0.28775968412486225,0.10733559178857022,0.18042409233629203,0.1367262448917117,7485
0.47757886366091573,0.29112702604879287,0.042309581954074325,0.19735879623159044,0.10093796204664299,0.08243909203035475,0.10918848832208101,0.322021561980433,0.07522887867702403,0.24679268330340898,0.21283307365835202,7560
0.45546208531975946,0.19831548566757418,0.14502068496930756,0.006342164204215769,0.1114802520609376,0.02920556060207283,0.14420478494326663,0.22003991173051649,0.09523549921077268,0.12480441251974381,0.07583512678724985,7557
0.4629185581370654,0.44518277224850367,0.19291469156718352,0.2786022730522191,0.07487288610150407,0.21506405058800646,0.1824830719411387,0.39556786781259606,0.16095054275223133,0.23461732506036473,0.21308479587145737,7615
0.473906552862923,0.33521033477770434,0.1073741808469159,0.1626497632293546,0.09537090955019435,0.12854613287298247,0.15042489104618081,0.3239222169566607,0.11043040775669759,0.21349180919996308,0.17349732591047987,7659
0.22240163268921212,0.27493244418781493,0.0560030718168501,-0.05892696559146954,0.06605707807991536,-0.05214441990304543,0.03885761595746282,0.1461357037618525,0.02330524333124001,0.12283046043061249,0.10727808780438969,7570
0.3065249418222447,0.3292660407012508,0.09523227022337223,0.04627517914978466,0.07350081076760626,0.09264602127614337,0.1203707014000473,0.22735538722442672,0.08712636742237395,0.14022901980205277,0.10698468582437942,7549
0.38796808761394075,0.25172996183879154,0.1777099609661815,0.05668972089782558,0.07138735080755469,0.09450375972570173,0.1606696386173738,0.23212925678351926,0.11453369049981264,0.11759556628370661,0.07145961816614546,7534
0.4344644587030164,0.2448637793539545,0.08237396090683205,0.09099426154338403,0.11946774599245372,-0.010949729770597655,0.09023100864527661,0.2567741665334517,0.06363065904289604,0.19314350749055564,0.1665431578881751,7625
0.48480870325356007,0.22965742943914466,0.12321734492020864,0.03788942906465854,0.1122045992361219,0.05398669809282782,0.12358584896101876,0.2507851872524544,0.09646954741638612,0.15431563983606827,0.12719933829143565,7597
0.29556960402853133,0.34078618724575765,0.0400443545904375,0.22790814523215203,0.09530854331142231,0.14714477068636264,0.13780194473191038,0.2880879788354804,0.09416588952940748,0.1939220893060729,0.15028603410357,7534
,,,,,,,,,,,0
0.5113099427904114,0.2533851873470642,0.12310495868431906,0.16769843439444754,0.09693792477879266,0.09025020478485969,0.13844141737691404,0.3107978548439744,0.10343102941599047,0.2073668254279839,0.17235643746706034,7591
0.3454031116865613,0.24173702073729925,0.02573259201485654,0.09102429353429055,0.08318751634040043,-0.0756998066996181,0.039225986240670446,0.22605480865271702,0.01107343388521296,0.21498137476750406,0.18682882241204657,7608
0.4545214120963208,0.3275362372844943,0.12107048811795287,0.14565279762295913,0.07944086166995462,0.1439487275861046,0.16159896026703555,0.30923681566792477,0.11482002579133736,0.1944167898765874,0.14763785540088922,7552
0.3551029239525694,0.21746963423721005,0.1558216582842427,0.014352524847465868,0.053765933310093904,0.10819010693469269,0.14810869521327252,0.19564169434574843,0.10592589950967642,0.08971579483607202,0.04753299913247591,7606
0.36859284727471414,0.16426157230632063,0.15286768599092218,-0.019061112115365205,0.06584633163171849,0.011432977061497344,0.12047425544352872,0.17126443582188985,0.07671566489471267,0.09454877092717719,0.05079018037836114,7606
,,,,,,,,,,,0
0.3562925850924091,0.11084417486577118,0.04146201785306472,0.02248749267597563,0.0445862581699466,0.03537828463848374,0.06255035120924672,0.1632080842113853,0.04047552022049836,0.12273256399088694,0.10065773300213858,7527
0.48385889363898094,0.4045366298295698,0.15949594274561482,0.2901030216104808,0.07471143647481329,0.20951151922241842,0.18878883891553622,0.3928328483596772,0.14790629948094883,0.24492654887872836,0.20404400944414097,7595
0.4286074148897702,0.2645812435938066,0.1225528527018433,0.040332457174927415,0.13540238759385384,-0.005530688917703383,0.12097961183894834,0.24450703855283473,0.08414151712599793,0.1603655214268368,0.12352742671388639,7599
0.5748739625796373,0.4226670731390768,0.05775268817305483,0.30567678185840125,0.0597407469277342,0.06280708200312435,0.07809682390792592,0.4344059391923718,0.060100172367971126,0.3743057668244007,0.35630911528444587,7519
0.45143443835533864,0.26602711524644884,0.09094591826996072,0.17505310840184524,0.07386386085868672,0.15115760569434922,0.15623202063020655,0.2975048873345442,0.10532246160766556,0.19218242572687866,0.14127286670433767,7559
0.4787312763666048,0.2910174381648829,0.10682986374766298,0.2911702386138845,0.11801815869201655,0.17194067292463383,0.18158082955905627,0.3536396510484574,0.13226289845477113,0.22137675259368628,0.17205882148940113,7581
