gene,GSE199460,GSE210776,GSE95401,GSE279183,pooled_mouse
AKAP9,-0.32905638133339604,-1.319394505484535,-0.32546296236916794,-0.28953246424948015,-0.6574378601541319
AKIRIN1,-0.9728015944164471,-1.7706140163683741,0.022575815949419854,-1.1052360207892382,-0.8115147018576051
AKIRIN2,-0.2923972464216816,-0.21112997735361536,-0.44699417117019763,0.8151383626256423,-0.31210231298884794
AKNA,0.7243929573888043,1.2125171868312066,-0.23482857715245753,-0.15185582602255596,0.5325675875523131
AKR1A1,1.2405962213748416,0.28114810608435564,2.7448162106564467,1.3200770369750119,1.1431871130947684
AKT1S1,2.148419600623323,1.2301250861246396,2.1047271364766127,0.9847470077218343,1.6899636400985176
AKTIP,-1.4267338512454855,-1.7817091522752488,-0.24083702179671448,-0.20232912094196004,-1.0305327782191112
ALAD,3.190880027336777,-0.22951207597315657,2.334576576774331,0.2730851117944798,1.4838273385127836
ALCAM,0.4665127164918382,-0.5486278818966748,0.19459064708951382,-0.3296082356254767,-0.015941832764151485
ALDH16A1,1.4344229294078688,-0.7676238733293023,2.1095067649285006,0.20045591163786045,0.7965374399159502
ALDH18A1,1.4445234896260168,1.0697560382881401,4.4123813907755975,-0.20034396253735742,1.77480878761363
ALDH4A1,-0.981371934463064,-0.5739160855906199,-0.5145186512877489,-0.24557099756558282,-0.6540298401763
ALDH5A1,-0.3036993813186788,1.0814526512610734,-1.311914962321257,-1.4079789560194629,-0.12667067141220772
ALDH6A1,0.060187529026547566,0.42226160073570396,-1.4208888932958694,-0.16722837686428388,-0.21323367901061066
ALDH7A1,0.6703632532884155,-0.16199113191750286,1.9542378023665916,0.19245293731391647,0.6441897119335401
ALDH9A1,-0.8650458838885845,-1.1274977063652714,-0.036773750117580835,1.8464036818525775,-0.6441668951306581
ALG11,-0.2029314882677602,0.27191094537946003,1.3804039684298821,-0.06411018196444046,0.43737330524712065
ALG12,3.4905742117711474,0.299102155758606,1.1852028301417434,0.7073765232464146,1.1327607541895917
ALG14,-0.2969287933764715,-0.721297167490094,1.0757699866705777,0.3207925172931125,-0.03042177442815981
ALG2,-0.07481540374020323,-1.273656037749644,1.6543875441158995,0.24181355280220293,0.040543262794006406
ALG3,2.8156857124591954,0.9316451675969774,1.7422783381774896,1.1607042627308215,1.4979707700952525
ALG5,3.5136467927029145,0.6214628234589129,2.0030681512300106,0.5418772850791638,1.568486778214103
ALG6,-0.9139959994817638,-0.32508359776815526,0.19681503572555634,0.3226010503574084,-0.28421931642935677
ALG8,5.603056841669568,0.08639669983338492,1.4674014007763023,0.14752397439854903,1.443669198886099
ALG9,0.4553535595410921,-0.42584135224812325,1.074214146929889,-0.1641675231835433,0.28195800053422015
ALKBH1,0.6618637026452756,1.0000289646067468,2.0776424034085625,0.5736266260854258,1.153236439606642
ALKBH2,0.993068934511657,-1.0958448601466682,0.15288389066370695,1.629189697982131,-0.06221326223480183
ALKBH3,1.8846020123366223,0.7509295170036753,2.204594544633202,0.4594043162579855,1.3858484874198356
ALKBH4,2.3031837804771658,1.4970070391443888,-0.025493738100343142,0.39958933138763947,1.0315936259543081
ALKBH5,0.020903627202795094,-0.29871760925633817,-0.5778174550882438,0.09594511479881056,-0.3011533914882319
ALKBH6,0.8545203894391304,-0.8173130923673744,0.2823491718831656,0.6848295142500312,0.013510067827247446
ALKBH7,1.112844005745442,-0.1273241967338928,1.8662775377153398,0.9726487910769134,0.7706787072059904
ALKBH8,-0.6429018297238754,-0.8854940501765972,0.731496401207053,0.751680892940015,-0.2642573089382305
ALOX5,0.01746945548582548,0.6415835380617464,0.0015095208331353794,0.7644170644564333,0.24425368284288726
ALOX5AP,0.574681932686896,1.522036343206478,-0.03621751064936587,0.48563725873835634,0.6386139875016067
ALPK1,0.8576724138886219,0.0004927829909788055,-0.34783666254261913,0.25044368569706577,0.09175837797171409
ALPK3,-0.8214789672399754,1.181246823318148,0.8990096876979901,0.8569142623621261,0.4935240462451267
ALPL,-1.3183764705536627,-2.997885617921244,-0.9859101477083503,-0.4613091956973779,-1.569404215343088
ALS2,-0.28030458109879386,-3.5343014468146436,-0.27961672591735753,-0.34933262408465193,-1.0945227279552812
ALS2CL,-0.7961946840113328,-1.7310981357656814,-0.1062934401025857,0.581000522904964,-0.8032629919358025
ALX4,-0.8329422543045831,-0.22928793349284005,-0.3531104706552263,1.0320520904482444,-0.4231037104120663
AMACR,1.3106804846208486,-0.8358792900995763,0.5411436458562287,-0.19396706816643555,0.21907339391600222
AMBRA1,0.17797799807056597,-0.363899084055563,-0.2190077063577999,-1.8824885445409936,-0.16608102670288713
AMDHD2,6.050525149323383,0.6669782260509766,0.8799283821995377,-0.2388662706970614,1.3077023439309585
AMFR,0.32473403322386996,1.5592865030620588,5.215698845922599,-0.03951729551551069,1.7470351046996242
AMH,-0.16935215337593318,-0.31662845050748395,-0.27640798596503957,-0.4901605279974946,-0.2626494641982967
AMIGO1,-1.5577370299409423,-1.1204296454543916,0.11385456910894363,0.37923712457720943,-0.7183725434411468
AMIGO2,0.3268262488379754,-2.9975332989836825,-0.18217778659648018,0.6213026817560124,-0.7767058742765596
AMMECR1,0.2595830494342491,0.18601839195677908,0.2442705308502827,0.5856378662908356,0.22570963438045502
AMMECR1L,-0.37930400386692836,-0.14241896406871282,-0.18726285200317977,-0.011606242160378945,-0.22103043772984218
AMN,-0.3324919344026093,0.737667505053638,-0.26371076021284323,1.547704978873698,0.08900368178698505
AMN1,0.6966910073640605,0.19539303112344658,0.05536962509659665,-0.861214740725174,0.2741654668261005
AMOT,-1.2474035049779129,-1.8308184153796914,-1.0107026673469925,0.9582917103953924,-1.350747553725474
AMOTL1,-0.7393546834934117,-3.587787709291143,0.10097719786743958,0.3753320928090148,-1.152335522971445
AMOTL2,-0.4430799378763926,-0.8075396572471208,-0.44131076589056795,0.18650038220338577,-0.5780801839895827
AMPH,-0.4851443130114807,-0.6282515338754437,-0.8033919419707086,0.03886041591545033,-0.6454509118543833
AMT,-0.7164495055163921,-0.6354938267489781,-0.08062028460448126,-1.0342063388531264,-0.45810926584142514
AMZ1,-0.4346872214035258,-2.747951606552821,-0.3368808333301777,-0.7982575599898304,-0.9973830463010533
AMZ2,0.16922319046154793,0.19468454651186884,2.344296582890333,0.48627585038544185,0.6879966663934488
ANAPC1,-0.3452702219707417,-0.28651177854357157,-0.07980150022077767,1.3115019570957622,-0.23128578431593957
ANAPC10,0.3885009315222787,-1.0470150387369237,1.5541315883114408,0.443731727525187,0.22844546384059053
ANAPC11,1.628984135499385,0.20200871937941087,0.6251932771418552,1.9606001163463531,0.6423147989516905
ANAPC13,3.180634811088697,0.5981102556000581,3.0882282730702175,0.3293482571255726,1.9336009972390722
ANAPC16,1.7444062802288653,0.6967928116952913,1.4832994824609482,2.192031566346162,1.1736343470897048
ANAPC2,-0.1771530497909338,-4.786900516600472,-0.8262966451272146,-0.7919017802892931,-1.4849467806640344
ANAPC4,0.5397863972341256,-0.4800215590692335,1.044714747813567,0.23341895898830525,0.2783621170417294
ANAPC5,-1.9692890128313747,-1.1171194298926248,0.34037868001772315,0.038872932969472744,-0.7387521328465466
ANAPC7,0.1419469843798168,-1.186393952568289,0.20708255638371809,0.4164599973283495,-0.28557930303810036
ANGEL1,-0.23504645075647834,-0.15258769568843283,1.3650473499109606,0.29771978575890434,0.24411140788190464
ANGEL2,-0.6786974995642712,-2.081350951719315,-0.25824626886999086,-0.19694140251536063,-0.8932109935041987
ANGPT1,-1.0071180663093982,0.36792183529093503,-0.09749719826022546,0.4964712453919508,-0.12811657215014147
ANGPT2,2.0546701367598197,6.6458568042372175,5.4532705866267435,0.12828919857702292,4.25790202479203
