dataset,filename,relative_download_path,bytes,md5,url,analysis_role
GSE279183,GSM8563686_CO85_features.tsv.gz,GSE279183_snRNA/GSM8563686_CO85_features.tsv.gz,333437,9e9ba05df43c3fcf7eb63e4679c1ff2e,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563686/suppl/GSM8563686_CO85_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563686_CO85_matrix.mtx.gz,GSE279183_snRNA/GSM8563686_CO85_matrix.mtx.gz,12125661,a8fa41052042baebe8ec6662b8fc1cc4,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563686/suppl/GSM8563686_CO85_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563687_MS197D_barcodes.tsv.gz,GSE279183_snRNA/GSM8563687_MS197D_barcodes.tsv.gz,80157,589fd9ed24107d6e0474383fbfc43cc6,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563687/suppl/GSM8563687_MS197D_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563687_MS197D_features.tsv.gz,GSE279183_snRNA/GSM8563687_MS197D_features.tsv.gz,333437,2fbbd20036c42ff80c2a5747e6e8fa21,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563687/suppl/GSM8563687_MS197D_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563687_MS197D_matrix.mtx.gz,GSE279183_snRNA/GSM8563687_MS197D_matrix.mtx.gz,166118874,63acac8fb0674069f28f33e0ed0f13dc,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563687/suppl/GSM8563687_MS197D_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563688_MS229_barcodes.tsv.gz,GSE279183_snRNA/GSM8563688_MS229_barcodes.tsv.gz,33437,9a6ee0e1ac289cbd7abf735daf445b49,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563688/suppl/GSM8563688_MS229_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563688_MS229_features.tsv.gz,GSE279183_snRNA/GSM8563688_MS229_features.tsv.gz,333437,3889085040412c4c673b3a8bbc5dfdfb,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563688/suppl/GSM8563688_MS229_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563688_MS229_matrix.mtx.gz,GSE279183_snRNA/GSM8563688_MS229_matrix.mtx.gz,49802189,4aa4918cc8e19b5f14a8e70b23dd4d95,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563688/suppl/GSM8563688_MS229_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563689_MS377N_barcodes.tsv.gz,GSE279183_snRNA/GSM8563689_MS377N_barcodes.tsv.gz,44394,477cb46956d8791a230c23115757a105,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563689/suppl/GSM8563689_MS377N_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563689_MS377N_features.tsv.gz,GSE279183_snRNA/GSM8563689_MS377N_features.tsv.gz,333437,163845cd1239d490d3bae622e219d0b6,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563689/suppl/GSM8563689_MS377N_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563689_MS377N_matrix.mtx.gz,GSE279183_snRNA/GSM8563689_MS377N_matrix.mtx.gz,83471577,f3542bc990f1a3c72c2205b320aed7c7,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563689/suppl/GSM8563689_MS377N_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563690_MS377T_barcodes.tsv.gz,GSE279183_snRNA/GSM8563690_MS377T_barcodes.tsv.gz,47433,f920c0bef3259fe677e2a6f1a4b94aa5,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563690/suppl/GSM8563690_MS377T_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563690_MS377T_features.tsv.gz,GSE279183_snRNA/GSM8563690_MS377T_features.tsv.gz,333437,58e37848f23bfc35c53afda94848e05d,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563690/suppl/GSM8563690_MS377T_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563690_MS377T_matrix.mtx.gz,GSE279183_snRNA/GSM8563690_MS377T_matrix.mtx.gz,76192922,4636f297256bcc7720e60658535e3573,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563690/suppl/GSM8563690_MS377T_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563691_MS377I_barcodes.tsv.gz,GSE279183_snRNA/GSM8563691_MS377I_barcodes.tsv.gz,48701,d889da3d71d9662c8329c3371b862e7b,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563691/suppl/GSM8563691_MS377I_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563691_MS377I_features.tsv.gz,GSE279183_snRNA/GSM8563691_MS377I_features.tsv.gz,333437,47095308ca4a9168fea7af30101aab28,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563691/suppl/GSM8563691_MS377I_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563691_MS377I_matrix.mtx.gz,GSE279183_snRNA/GSM8563691_MS377I_matrix.mtx.gz,86904795,ef18513231671c96e1d4f09b5bac61d4,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563691/suppl/GSM8563691_MS377I_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563692_MS411_barcodes.tsv.gz,GSE279183_snRNA/GSM8563692_MS411_barcodes.tsv.gz,45476,f8576c35219a52ee0ea4d445615d3ccc,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563692/suppl/GSM8563692_MS411_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563692_MS411_features.tsv.gz,GSE279183_snRNA/GSM8563692_MS411_features.tsv.gz,333437,62424f9c040edcaccd78229d599046d0,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563692/suppl/GSM8563692_MS411_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563692_MS411_matrix.mtx.gz,GSE279183_snRNA/GSM8563692_MS411_matrix.mtx.gz,72075458,599abc639c60f018e405c54c2ed8aea9,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563692/suppl/GSM8563692_MS411_matrix.mtx.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563693_MS497I_barcodes.tsv.gz,GSE279183_snRNA/GSM8563693_MS497I_barcodes.tsv.gz,25962,41c89e1651fbdd4e5b630d2fbc1d6763,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563693/suppl/GSM8563693_MS497I_barcodes.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563693_MS497I_features.tsv.gz,GSE279183_snRNA/GSM8563693_MS497I_features.tsv.gz,333437,7067a21c0a6e577485e319d8d768c1a2,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563693/suppl/GSM8563693_MS497I_features.tsv.gz,Reconstruction for the matched benchmark
GSE279183,GSM8563693_MS497I_matrix.mtx.gz,GSE279183_snRNA/GSM8563693_MS497I_matrix.mtx.gz,44350836,a1e588ddb528395b59ee4822ecee9ec3,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8563nnn/GSM8563693/suppl/GSM8563693_MS497I_matrix.mtx.gz,Reconstruction for the matched benchmark
