sample_id,dataset,group,Endothelial_immune_activation,BBB_specialization,Structural_ECM_remodeling,Tight_junction,BBB_transport_identity,Caveolae_structural,PLVAP_permeability,Adhesion_trafficking,IFN_antigen_presentation,Wnt_BBB,TGF_response,VEGF_response,ROS_Src,ECM_protease,subset
CO40,GSE279183,Control,0.24650747452448643,0.29042898636809916,-0.2829931192746326,0.10379958085221183,0.11646361443642488,-0.32564867443265383,-1.05228546913481,-0.108097451458669,0.337419543257185,0.5308255046664735,-0.20108345192452118,-0.354581682660245,-0.9129062758378749,-0.11514077991823661,
CO41,GSE279183,Control,0.3053766478235703,0.8937649728528313,0.030331856094421773,1.0554781324570643,0.8429809782589713,0.5739419547577551,0.0483587716422092,0.4215422216085983,0.2450838249308587,0.8198121961792492,0.11212637083948561,-0.05615738365122569,0.34389118812266994,-0.051296106026630484,
CO45,GSE279183,Control,-1.100359111791121,-2.154963146785005,-1.5668718612687536,-2.420494053937256,-2.3376720773823028,-2.55672170734708,-0.06713368209161835,-0.398627625496549,-1.3682262191223058,-1.856136588285306,-1.1514555835346434,-0.6719790289750595,-1.0851860499123274,-0.9285913408050357,
CO74,GSE279183,Control,0.004498700589479592,-0.019152645848196394,-0.35289161675411024,0.18629619667020586,0.2805034942420268,0.6162493796738923,0.32168013967647974,-0.14766789888302193,-0.061946850572828595,-0.3558893009206134,-1.0385632232675066,0.8881491040939701,-0.3858146009101504,-0.8113010031232066,
CO85,GSE279183,Control,-0.06812789784297088,0.42892949272402076,0.38099600958475344,0.6143858219001874,0.4098970253411813,1.069758255029609,0.7806037169304956,-0.08159317939260612,-0.1667675753283007,0.31798025152846937,0.20918286672497208,-0.3078473614034702,-0.8556186779475518,-0.1093062030200897,
MS197,GSE279183,Chronic_active,0.13604007963570208,-0.0033783606810810656,-0.2465655078560099,-0.07491177682314151,-0.01581807569730992,-0.21157334996043597,-0.49340061720938894,-0.18147010394218477,0.4688266672749328,0.05260372675777845,0.1210947307998781,-0.2906301205780068,0.32857610148417643,-0.23426777408897737,
MS229,GSE279183,Chronic_active,-0.3658074392146325,-0.43832462729588245,0.7405493552445865,-0.6172320360185728,-0.8837494045494826,0.050600359759344384,-0.015402809666748174,-0.24652249144676253,-0.5080010673771053,-0.02210316997835544,0.42314531046408893,0.061802007926139796,0.43805501917542233,0.8905238335044694,
MS377,GSE279183,Chronic_active,0.5434876121186982,-0.012063853400389969,0.15259483215197783,0.09148133543783521,-0.05276011303395145,0.34320598362041715,0.013620211923898194,1.3770669198824643,0.36714401456738327,-0.05396313953683243,0.5737759457559525,0.2824955399063041,0.3274484983022619,0.15649470443159658,
MS411,GSE279183,Chronic_active,0.5688707458498347,-0.12346597126125065,0.31119525270392356,-0.2507923236384029,-0.02332531058784748,0.02995941853556816,0.018368993017831237,0.34563338668048843,0.6214299017438222,-0.10534217679208457,0.31544199970613807,-0.26136027616297636,0.8894104862450141,0.5970864744402257,
MS497,GSE279183,Chronic_inactive,0.12272612246499473,0.5122824233021294,0.5949491726375525,0.7837080696707635,0.6805663582272629,0.6252787960874238,0.4137792561245174,0.07986302407309807,0.1817546103844199,0.2191427024396174,0.05235324740869112,0.4446942158234435,0.5459086902037372,0.6110675683433191,
MS549,GSE279183,Chronic_inactive,-0.047483131148870525,0.3372094528774906,0.05819105063149325,0.12447501028964827,0.2614251781788145,0.17449799691441048,-0.37379287089809965,-0.29515048918254355,0.11279414803593896,0.5295552644018363,0.253575380503087,-0.043302540712271596,0.3744413040666501,0.3025141313240395,
