celltype,module,contrast,delta_median,p_MWU,n1,n2,cliffs_delta,FDR_BH
Monocyte,Myeloid_proteolytic,Acute_vs_All_recovery,0.8187189973843032,0.015873015873015872,4,5,1.0,0.05555555555555555
Monocyte,Myeloid_proteolytic,R_remission_vs_recovery,0.30004657557843384,0.13772893772893774,11,4,0.5454545454545454,0.24102564102564106
Monocyte,Myeloid_proteolytic,NR_vs_R_remission,0.19130643562139138,0.07821590174531351,6,11,0.5454545454545454,0.18250377073906487
Monocyte,Chemokine,Acute_vs_R_recovery,1.2036741948356697,0.05714285714285714,4,4,0.875,0.07999999999999999
Monocyte,Chemokine,Acute_vs_All_recovery,1.0910551298091757,0.06349206349206349,4,5,0.8,0.08888888888888888
Monocyte,Chemokine,R_remission_vs_recovery,0.34174468904750616,0.07765567765567766,11,4,0.6363636363636364,0.18119658119658122
Monocyte,Chemokine,NR_vs_R_remission,0.6071443210307788,0.004848093083387201,6,11,0.8181818181818182,0.03393665158371041
Monocyte,VEGF_angiogenic,Acute_vs_R_recovery,0.4319293830132304,0.2,4,4,0.625,0.2
Monocyte,VEGF_angiogenic,Acute_vs_All_recovery,0.4264499981774751,0.19047619047619047,4,5,0.6,0.19047619047619047
Monocyte,VEGF_angiogenic,R_remission_vs_recovery,0.4958225267634551,0.03654604177925742,11,4,0.75,0.12791114622740096
Monocyte,VEGF_angiogenic,NR_vs_R_remission,-0.36023087009120336,0.22751493241574672,6,11,-0.3787878787878788,0.3185209053820454
Macrophage,IFN_antiviral,Acute_vs_NR_recovery,0.8514349877611556,0.2,2,3,1.0,0.35000000000000003
Macrophage,IFN_antiviral,Acute_vs_R_recovery,0.36640795699281054,0.6666666666666666,2,2,0.5,0.6666666666666666
Macrophage,IFN_antiviral,Acute_vs_All_recovery,0.8514349877611556,0.19047619047619047,2,5,0.8,0.3333333333333333
Macrophage,IFN_antiviral,NR_remission_vs_recovery,0.6748935079778848,0.1,3,3,1.0,0.35000000000000003
Macrophage,IFN_antiviral,R_remission_vs_recovery,-0.8219078852220414,0.13333333333333333,4,2,-1.0,0.4666666666666667
Macrophage,IFN_antiviral,NR_vs_R_remission,1.0117743624315811,0.05714285714285714,3,4,1.0,0.13333333333333333
Macrophage,TNF_NFkB,Acute_vs_NR_recovery,1.028489450930013,0.4,2,3,0.6666666666666666,0.46666666666666673
Macrophage,TNF_NFkB,Acute_vs_R_recovery,0.556587646622486,0.6666666666666666,2,2,0.5,0.6666666666666666
Macrophage,TNF_NFkB,Acute_vs_All_recovery,0.610089077343383,0.38095238095238093,2,5,0.6,0.5333333333333333
Macrophage,TNF_NFkB,NR_remission_vs_recovery,0.6591565641479767,0.4,3,3,0.5555555555555556,0.7000000000000001
Macrophage,TNF_NFkB,R_remission_vs_recovery,-0.6475844774477035,0.5333333333333333,4,2,-0.5,0.5333333333333333
Macrophage,TNF_NFkB,NR_vs_R_remission,0.8348392372881532,0.05714285714285714,3,4,1.0,0.13333333333333333
Macrophage,IL1_IL6,Acute_vs_NR_recovery,2.129620386469707,0.2,2,3,1.0,0.35000000000000003
Macrophage,IL1_IL6,Acute_vs_R_recovery,1.1918765281774328,0.3333333333333333,2,2,1.0,0.5833333333333333
Macrophage,IL1_IL6,Acute_vs_All_recovery,2.0653325701877447,0.09523809523809523,2,5,1.0,0.2222222222222222
Macrophage,IL1_IL6,NR_remission_vs_recovery,0.9410394770129669,0.1,3,3,1.0,0.35000000000000003
Macrophage,IL1_IL6,R_remission_vs_recovery,0.15505330041020354,0.5333333333333333,4,2,0.5,0.5333333333333333
Macrophage,IL1_IL6,NR_vs_R_remission,-0.15175768168951087,0.4,3,4,-0.5,0.56
Macrophage,TGF_remodeling,Acute_vs_NR_recovery,-0.1149472583261328,0.8,2,3,-0.3333333333333333,0.8
Macrophage,TGF_remodeling,Acute_vs_R_recovery,-0.19800257408095936,0.6666666666666666,2,2,-0.5,0.6666666666666666
