dataset,module,genes_expected,genes_found,genes_used,subset
GSE95401,IFN_antigen_presentation,14,12,STAT1;IRF1;CXCL9;CXCL10;B2M;TAP1;H2-AA;H2-AB1;IFIT1;IFIT2;IFIT3;ISG15,
GSE95401,Wnt_BBB,6,5,LEF1;AXIN2;APCDD1;RECK;TCF7L2,
GSE95401,TGF_response,8,8,TGFBR1;TGFBR2;SMAD2;SMAD3;SMAD4;SMAD7;SERPINE1;CTGF,
GSE95401,VEGF_response,6,6,KDR;FLT1;PGF;ANGPT2;ESM1;APLN,
GSE95401,ROS_Src,7,7,SRC;RAC1;NOX4;CYBB;NCF1;NCF2;HIF1A,
GSE95401,ECM_protease,4,4,MMP2;MMP9;TIMP1;TIMP2,
GSE279183,Endothelial_immune_activation,20,18,STAT1;STAT3;IRF1;CXCL9;CXCL10;CCL2;B2M;TAP1;HLA-DRA;HLA-DRB1;ICAM1;VCAM1;SELE;SELP;IFIT1;IFIT2;IFIT3;ISG15,
GSE279183,BBB_specialization,14,14,CLDN5;OCLN;TJP1;LSR;MFSD2A;SLC2A1;ABCG2;ABCB1;LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,
GSE279183,Structural_ECM_remodeling,15,15,CAV1;CAV2;EHD2;PLVAP;MMP2;MMP9;TIMP1;TIMP2;COL4A1;COL4A2;FN1;LAMA4;LAMB1;SPARC;VIM,
GSE279183,Tight_junction,4,4,CLDN5;OCLN;TJP1;LSR,
GSE279183,BBB_transport_identity,4,4,MFSD2A;SLC2A1;ABCG2;ABCB1,
GSE279183,Caveolae_structural,3,3,CAV1;CAV2;EHD2,
GSE279183,PLVAP_permeability,4,4,PLVAP;ESM1;APLN;ANGPT2,
GSE279183,Adhesion_trafficking,6,6,ICAM1;VCAM1;SELE;SELP;CCL2;CXCL10,
GSE279183,IFN_antigen_presentation,14,12,STAT1;IRF1;CXCL9;CXCL10;B2M;TAP1;HLA-DRA;HLA-DRB1;IFIT1;IFIT2;IFIT3;ISG15,
GSE279183,Wnt_BBB,6,6,LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,
GSE279183,TGF_response,8,7,TGFBR1;TGFBR2;SMAD2;SMAD3;SMAD4;SMAD7;SERPINE1,
GSE279183,VEGF_response,6,6,KDR;FLT1;PGF;ANGPT2;ESM1;APLN,
GSE279183,ROS_Src,7,7,SRC;RAC1;NOX4;CYBB;NCF1;NCF2;HIF1A,
GSE279183,ECM_protease,4,4,MMP2;MMP9;TIMP1;TIMP2,
GSE208747,Endothelial_immune_activation,20,18,STAT1;STAT3;IRF1;CXCL9;CXCL10;CCL2;B2M;TAP1;HLA-DRA;HLA-DRB1;ICAM1;VCAM1;SELE;SELP;IFIT1;IFIT2;IFIT3;ISG15,
GSE208747,BBB_specialization,14,14,CLDN5;OCLN;TJP1;LSR;MFSD2A;SLC2A1;ABCG2;ABCB1;LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,
GSE208747,Structural_ECM_remodeling,15,15,CAV1;CAV2;EHD2;PLVAP;MMP2;MMP9;TIMP1;TIMP2;COL4A1;COL4A2;FN1;LAMA4;LAMB1;SPARC;VIM,
GSE208747,Tight_junction,4,4,CLDN5;OCLN;TJP1;LSR,
GSE208747,BBB_transport_identity,4,4,MFSD2A;SLC2A1;ABCG2;ABCB1,
GSE208747,Caveolae_structural,3,3,CAV1;CAV2;EHD2,
GSE208747,PLVAP_permeability,4,4,PLVAP;ESM1;APLN;ANGPT2,
GSE208747,Adhesion_trafficking,6,6,ICAM1;VCAM1;SELE;SELP;CCL2;CXCL10,
GSE208747,IFN_antigen_presentation,14,12,STAT1;IRF1;CXCL9;CXCL10;B2M;TAP1;HLA-DRA;HLA-DRB1;IFIT1;IFIT2;IFIT3;ISG15,
GSE208747,Wnt_BBB,6,6,LEF1;AXIN2;APCDD1;ADGRA2;RECK;TCF7L2,
GSE208747,TGF_response,8,8,TGFBR1;TGFBR2;SMAD2;SMAD3;SMAD4;SMAD7;SERPINE1;CTGF,
GSE208747,VEGF_response,6,6,KDR;FLT1;PGF;ANGPT2;ESM1;APLN,
GSE208747,ROS_Src,7,7,SRC;RAC1;NOX4;CYBB;NCF1;NCF2;HIF1A,
GSE208747,ECM_protease,4,4,MMP2;MMP9;TIMP1;TIMP2,
