dataset,gene,n_case,n_control,hedges_g,var_g,ci_low,ci_high
GSE210776,1500002C15RIK,4,3,-1.3618505057733443,0.7687970133408447,-3.0803994886220116,0.356698477075323
GSE210776,1500002F19RIK,4,3,0.6885882159127029,0.6307487064427173,-0.8680376963315789,2.245214128156985
GSE210776,1500009C09RIK,4,3,-0.10766353942958896,0.584492477105584,-1.606124850257737,1.3907977713985589
GSE210776,1500009L16RIK,4,3,1.6434759904964893,0.853434666467175,-0.16720195289938133,3.4541539338923597
GSE210776,1500011B03RIK,4,3,2.1209566539175504,1.0331790461130466,0.12870651310995584,4.113206794725145
GSE210776,1500011K16RIK,4,3,-0.26173418954493954,0.590183811931008,-1.7674732545605751,1.2440048754706958
GSE210776,1500015O10RIK,4,3,1.4686076623669493,0.7990141799296249,-0.2833891622927436,3.220604487026642
GSE210776,1500026H17RIK,4,3,0.34594393044501803,0.5953010536345081,-1.1663088684091705,1.8581967292992065
GSE210776,1500035N22RIK,4,3,-0.5260409928950041,0.6110052459539296,-2.058110753988348,1.0060287681983398
GSE210776,1600002K03RIK,4,3,1.3394003603693776,0.7627326658690952,-0.3723571601932505,3.0511578809320055
GSE210776,1600012H06RIK,4,3,0.6582654748261578,0.6266646768681441,-0.8933127612472482,2.209843710899564
GSE210776,1600014C10RIK,4,3,0.9548219852963684,0.6745018356938632,-0.6548880047333714,2.5645319753261084
GSE210776,1600020E01RIK,4,3,-0.027852531051014855,0.5834109096819281,-1.524926794617821,1.4692217325157912
GSE210776,1700001C19RIK,4,3,2.5324703811969895,1.224673956497336,0.3634366167571259,4.701504145636854
GSE210776,1700001L05RIK,4,3,1.7335428358925729,0.8838504097207798,-0.109118211067325,3.5762038828524707
GSE210776,1700001L19RIK,4,3,-0.3062053937644708,0.5927095076503789,-1.8151629294790104,1.2027521419500686
GSE210776,1700001O22RIK,4,3,-0.22343422633514468,0.5883256186831318,-1.7268010134942595,1.27993256082397
GSE210776,1700003E16RIK,4,3,1.365691724152259,0.7698447218751303,-0.35402787030362215,3.0854113186081404
GSE210776,1700003F12RIK,4,3,1.2354398272031328,0.735964489997304,-0.4460122787974048,2.9168919332036705
GSE210776,1700006E09RIK,4,3,-24.255496044093547,59.416242167837105,-39.36355468549294,-9.14743740269415
GSE210776,1700007G11RIK,4,3,-0.08334469470182121,0.5840279671468274,-1.581210455907161,1.4145210665035184
GSE210776,1700007K13RIK,4,3,0.8077012734323858,0.6485714680437631,-0.7707638518196485,2.38616639868442
GSE210776,1700007L15RIK,4,3,4.242845643674946,2.3835072489384803,1.21687779065303,7.268813496696863
GSE210776,1700010I14RIK,4,3,0.054784262692044255,0.5836334648772045,-1.4425755199494785,1.552144045333567
GSE210776,1700010K24RIK,4,3,-0.7585306766824894,0.6408702120801729,-2.3275963243617674,0.8105349709967885
GSE210776,1700012B07RIK,4,3,2.413975830425959,1.166061264321403,0.2974832240091301,4.530468436842788
GSE210776,1700013F07RIK,4,3,-0.6923495098373516,0.6312681177105355,-2.2496162182071133,0.8649171985324104
GSE210776,1700013H16RIK,4,3,-1.9150504083447857,0.9500751399834864,-3.8254976485900016,-0.004603168099569954
GSE210776,1700016K19RIK,4,3,0.6229018264411923,0.6221340018717108,-0.9230574167442043,2.1688610696265886
GSE210776,1700017B05RIK,4,3,0.5803881194694394,0.6170183702554606,-0.9592020114333855,2.119978250372264
GSE210776,1700018A04RIK,4,3,-0.6093819567721586,0.6204679702572798,-2.153269826580185,0.9345059130358679
GSE210776,1700019D03RIK,4,3,-1.0478651248992763,0.693135465331351,-2.6796583727149788,0.5839281229164259
GSE210776,1700019G24RIK,4,3,0.9348096757792802,0.6707202463263897,-0.6703815584004541,2.5400009099590144
GSE210776,1700020I14RIK,4,3,-0.10943913562305965,0.5845310257739256,-1.607949859179322,1.3890715879332025
GSE210776,1700020L24RIK,4,3,0.47608180931906935,0.6059987222497852,-1.049698217878421,2.00186183651656
GSE210776,1700021F05RIK,4,3,-1.0764668618466502,0.6992114237987309,-2.7153965753076044,0.5624628516143038
GSE210776,1700022I11RIK,4,3,-1.0333571316926418,0.6901160294953378,-2.6615922925061186,0.5948780291208353
GSE210776,1700022N22RIK,4,3,0.7081409166473942,0.6334796891163545,-0.8518512543936618,2.26813308768845
GSE210776,1700023F06RIK,4,3,0.6876472735757714,0.6306192106189525,-0.8688188389733479,2.2441133861248908
GSE210776,1700025G04RIK,4,3,0.5366962885446712,0.6121376239470959,-0.9967925102912262,2.0701850873805685
