source,endpoint,group,mouse,n_fields,mouse_mean
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 5,4,7.934316955
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 6,4,8.8990980325
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 7,4,6.2706685874999994
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 8,4,6.6895637725
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,IgG,Mouse 9,4,3.8363883999999997
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 1,3,8.534488856666668
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 2,3,6.087939543333334
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 3,4,5.46392801
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 4,3,7.530302506666666
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 5,4,4.3180346025
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 6,4,4.043019525
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 7,4,5.149773695
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 8,4,4.155092815000001
"Shahriar et al. 2024, Extended Data Figure 7",Fibrinogen leakage,r84,Mouse 9,4,16.8145413675
