Gene,Stage,log2FC,p,FDR
Ptrf,Subacute,-0.2341325843481658,0.09738726681807597,0.2403099986261281
Sdpr,Subacute,-1.1155760911843107,0.00025646040666250545,0.04398722823381471
Ehd2,Subacute,0.3365516088595605,0.06081379406273066,0.18635379203792307
Cldn5,Subacute,0.17021819686611953,0.34792016039253504,0.5011052397926202
Ocln,Subacute,-0.4494592334847935,0.006013029337626749,0.07168206573149126
Tjp1,Subacute,-0.08402730810024392,0.5121219119925031,0.6488354395566999
Slc2a1,Subacute,-0.47525798741707326,0.005594552073723061,0.06951654781303458
Abcb1a,Subacute,-0.6413222291542914,0.0010219624731941889,0.04902345098376758
Abcg2,Subacute,-0.6025080069014066,0.006292209500227685,0.07309123245236153
Lsr,Subacute,0.15420977463709354,0.21055633760722284,0.3667741131514092
Reck,Subacute,-0.8768082866664585,0.0013677783458770068,0.052067920276204334
Apcdd1,Subacute,0.29250760164448975,0.1698531578045126,0.3233570661106796
Vcam1,Subacute,2.0725593054256293,0.0003306111008307377,0.04398722823381471
Icam1,Subacute,0.7052961737830852,0.0010073834884961966,0.04902345098376758
Sele,Subacute,4.212764017803797,0.019153474502555598,0.11116606114328272
Selp,Subacute,5.479607353353896,0.00017319136456205587,0.04398722823381471
Ccl2,Subacute,2.175022357300191,0.001403122836366438,0.052067920276204334
Cxcl9,Subacute,7.848483968896667,0.002122404578108342,0.055931902519485356
Cxcl10,Subacute,3.369565284386547,0.002276775269724911,0.056275273241933155
Stat1,Subacute,0.7650553629889278,0.0010673287189606735,0.04902345098376758
Irf1,Subacute,-0.1331112995016282,0.19828509166140193,0.3531191054784261
Ifitm3,Subacute,1.4508016315929102,0.002508039219341676,0.05690233456371603
Angpt2,Subacute,0.3868708474701933,0.0013974015322488732,0.052067920276204334
Kdr,Subacute,-0.4795356543001982,0.007529406393318751,0.0763359504247838
Flt1,Subacute,-0.8885895708650899,7.737073584086877e-06,0.02115058015436549
Esm1,Subacute,3.263827954331996,0.04271600019176662,0.15919915648456634
Apln,Subacute,1.6136766833878953,0.021166865876664085,0.11617874084597897
Angptl4,Subacute,1.624451139661553,0.014111563237047296,0.09749699250802432
Tek,Subacute,-0.2526689279433126,0.019503822054936962,0.11177557279702167
Axin2,Subacute,-1.0890609769220472,0.04201254841489429,0.15833865328609747
Lef1,Subacute,-0.7378536981749565,0.07760714593603645,0.2122554087582078
Tcf7l2,Subacute,0.11426534670438751,0.9187880963664595,0.9501867816269023
Mfsd2a,Chronic,-1.1002502835024477,0.007522156500623242,0.20480415133853364
Cav1,Chronic,-0.5907198866915883,0.10347288988308985,0.34372766823489087
Cav2,Chronic,-0.6827636159403611,0.03631195552969283,0.26847593830246086
Ptrf,Chronic,-0.32169977834206365,0.11973132992648121,0.3611592427093351
Sdpr,Chronic,-0.8629652658497329,0.044411937612089294,0.28177749761942616
Ehd2,Chronic,-0.3474767595221035,0.06440855575785244,0.30651992663511446
Cldn5,Chronic,-0.03052096211667197,0.7754951886256118,0.8810047380984841
Ocln,Chronic,-0.39339253386289885,0.04587572260039206,0.2853184525294148
Tjp1,Chronic,-0.017779465253777448,0.7989313805216958,0.8944460818801555
Slc2a1,Chronic,-0.40574466136987525,0.22126560793457503,0.4615402911405036
Abcb1a,Chronic,-0.2672947537212472,0.11838154133769686,0.36029981756810164
Abcg2,Chronic,-0.3541931601012812,0.06499924095074434,0.30721339355021615
Lsr,Chronic,-0.4511916990500159,0.020401840844062494,0.24279262582535324
Reck,Chronic,-0.8319316098971583,0.0635907861569523,0.3059108177990477
Apcdd1,Chronic,-0.2888039086020542,0.19820165634196552,0.4416944327168858
Vcam1,Chronic,1.7099954887687936,0.0009454959164533677,0.17752544815268245
Icam1,Chronic,0.6587727987233767,0.031568764449296176,0.257151436738449
Sele,Chronic,3.061017850775889,0.06841491024012578,0.30934263859523825
Selp,Chronic,3.96564963682543,0.005457374021952803,0.20095731094120506
Ccl2,Chronic,2.9713379739305923,0.0659776553585327,0.3082001354460481
Cxcl9,Chronic,5.308255246842827,0.03172251966174308,0.257151436738449
Cxcl10,Chronic,2.328524452224049,0.00959699867778615,0.21874166148074772
Stat1,Chronic,0.1243591668991755,0.7343453767046012,0.855970996025023
Irf1,Chronic,0.14656111940749475,0.3042857558011086,0.5358424030100366
Ifitm3,Chronic,0.6063577675358751,0.12760334154989347,0.37072684863560806
Angpt2,Chronic,0.09082245296529809,0.7036517624716465,0.8353780402803196
Kdr,Chronic,-0.7786437040821643,0.058580239787832465,0.3002404374064597
Flt1,Chronic,-0.47063206890620723,0.13914408674685919,0.381510350499281
Esm1,Chronic,2.7700322564012896,0.05363986560087756,0.29579644939231975
Angptl4,Chronic,1.1636811502046234,0.04433587516184476,0.28177749761942616
Tek,Chronic,-0.2288539622391901,0.03127792077570176,0.257151436738449
Axin2,Chronic,-0.8063552919806717,0.017913835601503267,0.23995230973731288
Lef1,Chronic,-0.47349241862690244,0.09869564661850477,0.34128167000928544
Tcf7l2,Chronic,0.24496158620650446,0.3628609101271156,0.5801142911007098
