subtype,feature,delta_bevac_minus_acute,p_exact,acute_mean,bevac_mean,n_acute,n_bevac,fdr_within_subtype
Arterial,Cav1,0.4238210668166478,0.05714285714285714,0.8520017713308334,1.2758228381474812,4,3,0.14945054945054945
Arterial,Cav2,0.21988793959220254,0.11428571428571428,0.7425020262598991,0.9623899658521017,4,3,0.22857142857142856
Arterial,Plvap,0.019493141890658684,0.4,0.024799504259135574,0.04429264614979426,4,3,0.5230769230769231
Arterial,Cldn5,0.6947989066441855,0.02857142857142857,3.0455249547958374,3.740323861440023,4,3,0.14945054945054945
Arterial,Lsr,0.21412342290083575,0.05714285714285714,0.864722952246666,1.0788463751475017,4,3,0.14945054945054945
Arterial,Abcg2,0.5263953407605488,0.05714285714285714,0.9723312258720398,1.4987265666325886,4,3,0.14945054945054945
Arterial,Axin2,0.12023525312542915,0.14285714285714285,0.18501656875014305,0.3052518218755722,4,3,0.24285714285714283
Arterial,Reck,0.006632592529058456,0.9142857142857143,0.2539663352072239,0.26059892773628235,4,3,1.0
Arterial,Vcam1,0.17681472500165296,0.34285714285714286,0.895916074514389,1.072730799516042,4,3,0.46628571428571425
Arterial,Icam1,-0.12501482913891476,0.11428571428571428,0.4718920961022377,0.34687726696332294,4,3,0.22857142857142856
Arterial,Cxcl9,-0.015587217562521502,0.9714285714285714,0.09116620267741382,0.07557898511489232,4,3,1.0
Arterial,Cxcl10,-0.013978381175547838,0.7428571428571429,0.09660543920472264,0.0826270580291748,4,3,0.9020408163265307
Arterial,Stat1,0.21463686600327492,0.14285714285714285,0.5199285112321377,0.7345653772354126,4,3,0.24285714285714283
Arterial,Irf1,0.18993475784858072,0.05714285714285714,0.6233712956309319,0.8133060534795126,4,3,0.14945054945054945
Arterial,B2m,-0.4113955100377402,0.08571428571428572,3.181132674217224,2.769737164179484,4,3,0.19428571428571428
Arterial,H2-Aa,-0.179433461278677,0.02857142857142857,0.2608724310994148,0.08143896982073784,4,3,0.14945054945054945
Arterial,H2-Ab1,-0.22546986242135364,0.02857142857142857,0.3134153038263321,0.08794544140497844,4,3,0.14945054945054945
Arterial,Angpt2,-0.01863228731478254,0.2857142857142857,0.049142451491206884,0.030510164176424343,4,3,0.42236024844720493
Arterial,Esm1,-0.005417876411229372,1.0,0.005417876411229372,0.0,4,3,1.0
Arterial,Apln,0.005069114073800544,0.2857142857142857,0.0017034356715157628,0.006772549745316307,4,3,0.42236024844720493
Arterial,Kdr,0.28296957165002823,0.05714285714285714,0.3069518432021141,0.5899214148521423,4,3,0.14945054945054945
Arterial,Serpine1,-0.02320743538439274,0.3142857142857143,0.046994756907224655,0.023787321522831917,4,3,0.4452380952380952
Arterial,Ctgf,,,0.16934603825211525,,4,3,
Angiogenic,Tight_junction,0.6611994976798693,0.02857142857142857,0.33188115805387497,0.9930806557337443,4,3,0.09714285714285714
Angiogenic,BBB_transport_identity,0.4127777454753717,0.05714285714285714,0.24692931398749352,0.6597070594628652,4,3,0.12142857142857143
Angiogenic,Caveolae_structural,0.44240180356428027,0.02857142857142857,0.11462115542963147,0.5570229589939117,4,3,0.09714285714285714
Angiogenic,PLVAP_permeability,0.17480158060789108,0.2,0.18273866921663284,0.3575402498245239,4,3,0.26153846153846155
Angiogenic,Adhesion_trafficking,0.11498313148816425,0.08571428571428572,0.1713409721851349,0.28632410367329914,4,3,0.16190476190476188
Angiogenic,IFN_antigen_presentation,0.27302969992160797,0.02857142857142857,0.6379496306180954,0.9109793305397034,4,3,0.09714285714285714
Angiogenic,Wnt_BBB,0.1607828103005886,0.02857142857142857,0.0930541642010212,0.2538369745016098,4,3,0.09714285714285714
Angiogenic,TGF_response,0.06554026901721954,0.22857142857142856,0.26017342507839203,0.3257136940956116,4,3,0.2878306878306878
Angiogenic,VEGF_response,0.47196359684069955,0.02857142857142857,0.36887652426958084,0.8408401211102804,4,3,0.09714285714285714
Angiogenic,ROS_Src,0.008256812890370668,0.8571428571428571,0.40534427762031555,0.4136010905106862,4,3,0.8571428571428571
Angiogenic,ECM_protease,-0.01601933711208403,0.6857142857142857,0.0910061786416918,0.07498684152960777,4,3,0.752073732718894
Angiogenic,Mfsd2a,0.018224212108179927,0.2571428571428571,0.003884044708684087,0.022108256816864014,4,3,0.31224489795918364
Angiogenic,Cav1,0.6959085936347643,0.02857142857142857,0.14419489353895187,0.8401034871737162,4,3,0.09714285714285714
Angiogenic,Cav2,0.42752353536585963,0.05714285714285714,0.11538639478385448,0.5429099301497141,4,3,0.12142857142857143
Angiogenic,Plvap,0.03630514986192187,0.7142857142857143,0.013280197512358427,0.049585347374280296,4,3,0.7589285714285714
Angiogenic,Cldn5,1.537696403761705,0.02857142857142857,0.8101485148072243,2.347844918568929,4,3,0.09714285714285714
