threshold,value,contrast,module,n_x,n_y,median_x,median_y,delta_median,cliffs_delta,p_exact,FDR_BH
q20,module_z,NAWM_vs_CWM,ECM_protease,3,2,-0.5324352807156139,-0.5218525385721908,-0.01058274214342303,0.0,1.0,1.0
q20,module_z,NAWM_vs_CWM,IFN_antigen_presentation,3,2,-0.22599233489983547,-0.5096301647838977,0.28363782988406216,0.6666666666666666,0.4,0.9777777777777777
q20,module_z,NAWM_vs_CWM,PLVAP_permeability,3,2,0.0349470778459548,-0.03600793043840008,0.07095500828435489,0.6666666666666666,0.4,0.9777777777777777
q20,module_z,NAWM_vs_CWM,ROS_Src,3,2,-0.341083745585452,-0.4768207394730168,0.13573699388756477,0.3333333333333333,0.8,0.9777777777777777
q20,module_z,NAWM_vs_CWM,TGF_response,3,2,-0.4529223470589224,-0.4555596200505663,0.002637272991643902,-0.3333333333333333,0.8,0.9777777777777777
q20,module_z,NAWM_vs_CWM,Tight_junction,3,2,-0.08336114694253902,-0.06302281379246089,-0.02033833315007813,0.0,1.0,1.0
q20,module_z,NAWM_vs_CWM,VEGF_response,3,2,-0.4866287096267681,-0.2427650248609595,-0.24386368476580858,-0.3333333333333333,0.8,0.9777777777777777
q20,module_z,NAWM_vs_CWM,Wnt_BBB,3,2,-0.49371890448789796,-0.4484894095914057,-0.04522949489649225,-0.3333333333333333,0.8,0.9777777777777777
q20,module_z,Active_vs_Mixed,Adhesion_trafficking,3,6,0.7129409615766571,0.004308752885616808,0.7086322086910403,0.0,1.0,1.0
q20,module_z,Active_vs_Mixed,BBB_transport_identity,3,6,-0.4618497714185388,0.6159792260754611,-1.0778289974939999,-0.5555555555555556,0.26190476190476186,0.9603174603174602
q20,module_z,Active_vs_Mixed,Caveolae_structural,3,6,0.408902485650746,0.2069317330706324,0.2019707525801136,0.0,1.0,1.0
q20,module_z,Active_vs_Mixed,ECM_protease,3,6,0.6852732152896184,0.05870607943250543,0.626567135857113,0.4444444444444444,0.38095238095238093,0.982142857142857
q20,module_z,Active_vs_Mixed,IFN_antigen_presentation,3,6,0.640862597149901,-0.33126518177508935,0.9721277789249904,0.2222222222222222,0.7142857142857142,0.982142857142857
q20,module_z,Active_vs_Mixed,PLVAP_permeability,3,6,0.3348343804819679,-0.002231619641802879,0.33706600012377075,0.7777777777777778,0.09523809523809523,0.9603174603174602
q20,module_z,Active_vs_Mixed,ROS_Src,3,6,0.8231632084901337,0.05106993358852495,0.7720932749016087,0.5555555555555556,0.26190476190476186,0.9603174603174602
q20,module_z,Active_vs_Mixed,TGF_response,3,6,0.10467769122580635,0.4368528416929031,-0.3321751504670968,-0.2222222222222222,0.7142857142857142,0.982142857142857
q20,module_z,Active_vs_Mixed,Tight_junction,3,6,-0.21061426101975503,0.00010685408884558885,-0.21072111510860062,-0.2222222222222222,0.7142857142857142,0.982142857142857
q20,module_z,Active_vs_Mixed,VEGF_response,3,6,0.07141036233210556,0.3247522857150811,-0.2533419233829755,-0.3333333333333333,0.5476190476190476,0.982142857142857
q20,module_z,Active_vs_Mixed,Wnt_BBB,3,6,0.21613823598910345,0.2739134481104222,-0.057775212121318725,0.0,1.0,1.0
q20,module_z,Lesion_vs_nonlesional,Adhesion_trafficking,9,5,0.1238598679121804,-0.63387127481224,0.7577311427244204,0.8222222222222222,0.011988011988011988,0.0695970695970696
q20,module_z,Lesion_vs_nonlesional,BBB_transport_identity,9,5,0.3131765912538722,-0.4531338910533509,0.7663104823072231,0.3333333333333333,0.36363636363636365,0.4444444444444444
q20,module_z,Lesion_vs_nonlesional,Caveolae_structural,9,5,0.408902485650746,-0.7943811207911838,1.2032836064419299,0.6,0.08291708291708291,0.1824175824175824
q20,module_z,Lesion_vs_nonlesional,ECM_protease,9,5,0.24983469460530688,-0.5324352807156139,0.7822699753209208,0.7777777777777778,0.01898101898101898,0.0695970695970696
q20,module_z,Lesion_vs_nonlesional,IFN_antigen_presentation,9,5,-0.14023992755811385,-0.46587952305845115,0.3256395955003373,0.3333333333333333,0.36363636363636365,0.4444444444444444
q20,module_z,Lesion_vs_nonlesional,PLVAP_permeability,9,5,0.049319213925856975,0.020580834004492492,0.028738379921364483,0.2,0.6063936063936064,0.6670329670329671
q20,module_z,Lesion_vs_nonlesional,ROS_Src,9,5,0.16731302004345933,-0.341083745585452,0.5083967656289113,0.6444444444444445,0.05994005994005994,0.16483516483516483
q20,module_z,Lesion_vs_nonlesional,TGF_response,9,5,0.35179414575421164,-0.4529223470589224,0.8047164928131341,0.7777777777777778,0.01898101898101898,0.0695970695970696
q20,module_z,Lesion_vs_nonlesional,Tight_junction,9,5,-0.019990327939530286,-0.08336114694253902,0.06337081900300873,0.022222222222222223,1.0,1.0
q20,module_z,Lesion_vs_nonlesional,VEGF_response,9,5,0.12412978766281606,-0.41585985085830574,0.5399896385211218,0.4666666666666667,0.18981018981018982,0.29827315541601257
q20,module_z,Lesion_vs_nonlesional,Wnt_BBB,9,5,0.24649441517667348,-0.45477442222355263,0.701268837400226,0.5111111111111111,0.14685314685314685,0.2692307692307692
q20,module_z_ECadj,MS_lesion_vs_NAWM,Adhesion_trafficking,9,3,0.3773608272070583,-0.43252197582540847,0.8098828030324667,0.7777777777777778,0.06363636363636363,0.32
q20,module_z_ECadj,MS_lesion_vs_NAWM,BBB_transport_identity,9,3,-0.062002624839046616,0.0038573546722341923,-0.06585997951128081,-0.037037037037037035,1.0,1.0
q20,module_z_ECadj,MS_lesion_vs_NAWM,Caveolae_structural,9,3,0.007112513076738261,-0.3395434642267052,0.3466559773034435,0.7037037037037037,0.09999999999999999,0.32
q20,module_z_ECadj,MS_lesion_vs_NAWM,ECM_protease,9,3,0.11148764063658939,-0.4817071102474344,0.5931947508840238,0.6296296296296297,0.14545454545454545,0.32
q20,module_z_ECadj,MS_lesion_vs_NAWM,IFN_antigen_presentation,9,3,0.05182902481077986,-0.09005373474012038,0.14188275955090024,0.18518518518518517,0.7272727272727273,0.8888888888888888
q20,module_z_ECadj,MS_lesion_vs_NAWM,PLVAP_permeability,9,3,0.05035664429293954,0.060096838333138794,-0.009740194040199254,-0.1111111111111111,0.8636363636363636,0.9500000000000001
q20,module_z_ECadj,MS_lesion_vs_NAWM,ROS_Src,9,3,0.0671119787082709,-0.23987320811768365,0.30698518682595455,0.6296296296296297,0.14545454545454545,0.32
q20,module_z_ECadj,MS_lesion_vs_NAWM,TGF_response,9,3,0.10247616894895084,-0.4424333790329538,0.5449095479819046,0.8518518518518519,0.03636363636363636,0.32
q20,module_z_ECadj,MS_lesion_vs_NAWM,Tight_junction,9,3,0.014534728613312342,0.20238426404693413,-0.1878495354336218,-0.18518518518518517,0.7272727272727273,0.8888888888888888
q20,module_z_ECadj,MS_lesion_vs_NAWM,VEGF_response,9,3,0.07801648808038036,-0.5298440576687167,0.6078605457490971,0.48148148148148145,0.2818181818181818,0.5166666666666667
