dataset,contrast,module,case,control,n_case,n_control,mean_difference,p_exact,cliffs_delta,hedges_g,var_g,ci_low,ci_high,FDR_BH
GSE95401,Subacute_EAE_vs_control,BBB_specialization,Subacute,Control,3,3,-0.918516392317817,0.1,-1.0,-7.629881060603132,7.943552291535465,-13.154005469336397,-2.105756651869868,0.10000000000000002
GSE95401,Subacute_EAE_vs_control,Structural_ECM_remodeling,Subacute,Control,3,3,1.2596048142973133,0.1,1.0,6.649692104166092,6.1939673016927745,1.7717063737459045,11.527677834586278,0.10000000000000002
GSE95401,Chronic_EAE_vs_control,Endothelial_immune_activation,Chronic,Control,3,3,1.0308630395355434,0.1,1.0,3.102117986941873,1.869558667280204,0.4221745964532544,5.782061377430491,0.10000000000000002
GSE95401,Chronic_EAE_vs_control,BBB_specialization,Chronic,Control,3,3,-1.0669606595986016,0.1,-1.0,-2.730099354007151,1.5983469770104497,-5.208044015795091,-0.25215469221921216,0.10000000000000002
GSE95401,Chronic_EAE_vs_control,Structural_ECM_remodeling,Chronic,Control,3,3,0.6414936504421344,0.1,1.0,3.215392291409711,1.9590101151237906,0.4720852983337349,5.958699284485688,0.10000000000000002
GSE279183,Chronic_active_MS_vs_control,Endothelial_immune_activation,Chronic_active,Control,4,6,0.38028674788168826,0.28095238095238095,0.4166666666666667,0.7024781685754121,0.44750889024948326,-0.6086854950388655,2.01364183218969,0.42142857142857143
GSE279183,Chronic_active_MS_vs_control,BBB_specialization,Chronic_active,Control,4,6,-0.09893169256948234,0.9095238095238095,-0.5,-0.1039937457203589,0.4173425853634761,-1.3701940758152178,1.1622065843745002,0.9095238095238095
GSE279183,Chronic_active_MS_vs_control,Structural_ECM_remodeling,Chronic_active,Control,4,6,0.5079291756467068,0.22857142857142856,0.5,0.7612141478517385,0.4528821028472697,-0.5577975603214951,2.0802258560249722,0.42142857142857143
GSE279183,Chronic_inactive_MS_vs_control,Endothelial_immune_activation,Chronic_inactive,Control,2,6,0.19726049394234976,0.6428571428571429,0.16666666666666666,0.3615411990665068,0.6775593365518706,-1.2518130544369408,1.9748954525699542,0.6428571428571429
GSE279183,Chronic_inactive_MS_vs_control,BBB_specialization,Chronic_inactive,Control,2,6,0.47012244867997866,0.5357142857142857,0.5,0.41587258614649614,0.6810791673256812,-1.2016668196171891,2.0334119919101816,0.6428571428571429
GSE279183,Chronic_inactive_MS_vs_control,Structural_ECM_remodeling,Chronic_inactive,Control,2,6,0.5950558042201102,0.32142857142857145,0.6666666666666666,0.7937295772638324,0.7191672201519518,-0.8684234821551062,2.4558826366827713,0.6428571428571429
GSE279183,Chronic_active_vs_chronic_inactive,Endothelial_immune_activation,Chronic_active,Chronic_inactive,4,2,0.18302625393933852,0.6,0.5,0.3809062625576982,0.7681361976069593,-1.3369039763007429,2.0987165014161393,0.8666666666666667
GSE279183,Chronic_active_vs_chronic_inactive,BBB_specialization,Chronic_active,Chronic_inactive,4,2,-0.569054141249461,0.06666666666666667,-1.0,-2.437253416208093,1.4925255268522526,-4.831765070795644,-0.04274176162054166,0.2
GSE279183,Chronic_active_vs_chronic_inactive,Structural_ECM_remodeling,Chronic_active,Chronic_inactive,4,2,-0.08712662857340336,0.8666666666666667,0.0,-0.17370350331450513,0.7537716133829665,-1.8753759247787551,1.527968918149745,0.8666666666666667
GSE208747,Active_lesion_vs_NAWM,Endothelial_immune_activation,Active,NAWM,3,3,0.31643848919838846,0.1,1.0,2.836934309025656,1.672691200882526,0.3020160623537218,5.37185255569759,0.10000000000000002
GSE208747,Active_lesion_vs_NAWM,BBB_specialization,Active,NAWM,3,3,0.1517863678995905,0.1,1.0,4.150762786657994,2.8202706305547713,0.8592051532055267,7.442320420110462,0.10000000000000002
GSE208747,Active_lesion_vs_NAWM,Structural_ECM_remodeling,Active,NAWM,3,3,0.2957385814424336,0.1,1.0,1.982447103870278,1.1579287316221232,-0.1266519965514037,4.0915462042919595,0.10000000000000002
GSE208747,Mixed_lesion_vs_NAWM,Endothelial_immune_activation,Mixed_active_inactive,NAWM,6,3,0.16642563796902962,0.21428571428571427,0.4444444444444444,1.0342787038581283,0.5764094598038892,-0.4537853340053708,2.5223427417216273,0.21428571428571427
GSE208747,Mixed_lesion_vs_NAWM,BBB_specialization,Mixed_active_inactive,NAWM,6,3,0.1238106114587612,0.047619047619047616,1.0,1.2666919441604156,0.6146077486714924,-0.26988774049521735,2.8032716288160486,0.08928571428571427
GSE208747,Mixed_lesion_vs_NAWM,Structural_ECM_remodeling,Mixed_active_inactive,NAWM,6,3,0.23339831120755414,0.05952380952380952,1.0,1.6038672430061265,0.6837421523705767,-0.016831326298729632,3.2245658123109826,0.08928571428571427
GSE208747,Active_vs_mixed_lesion,Endothelial_immune_activation,Active,Mixed_active_inactive,3,6,0.1500128512293588,0.20238095238095238,0.6666666666666666,0.8443553755879019,0.5509240000202991,-0.6104400184376568,2.2991507696134605,0.6071428571428572
GSE208747,Active_vs_mixed_lesion,BBB_specialization,Active,Mixed_active_inactive,3,6,0.0279757564408293,0.6785714285714286,0.2222222222222222,0.27772570469480584,0.5055093976463019,-1.115818303220995,1.6712697126106066,0.6785714285714285
GSE208747,Active_vs_mixed_lesion,Structural_ECM_remodeling,Active,Mixed_active_inactive,3,6,0.06234027023487948,0.4880952380952381,0.5555555555555556,0.35170753749810646,0.5088355851380701,-1.0464136245856415,1.7498286995818544,0.6785714285714285
